V8,V9,V10,Inst,recap,conf,RSfr,RSlike,FDfr,FDeasy,FDconv,FDlike,again,month,lunch,dinner,Timefp1_1,Timefp1_2,Timefp1_3,Timefp1_4,openfr,purpfr,timefp2_1,timefp2_2,timefp2_3,timefp2_4
StartDate,EndDate,Finished,Stanford Food Diary: Follow Up Ê Thanks for participating in the Stanford Food Diary. We're pilot...,"As a recap, there were three parts to this study (each paid/pays $1): 1) The Recruitment Survey (...",Were any parts of the study confusing or troublesome?,How was completing the initial Recruitment Survey were you signed up for the food diary?,"Overall, how did you feel about the Recruitment Survey?",How was completing the entries for the Food Diary?,How difficult or easy was it for you to recall what you had eaten for the prior meal in the Food...,How convenient or inconvenient was it for you to complete an entry in the Food Diary?,"Overall, how did you feel about the Food Diary?",Would you participate in a study like this again?,"The Food Diary you participated in lasted 1 week, had 3 entries, and paid $1. If the Food Diary h...",What time do you normally eat lunch?,What time do you normally eat dinner?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Any other comments?,What did you think the purpose of this study was?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count
3/2/17 13:19,3/2/17 13:21,1,1,1,None,It was pleasant,Liked it,Easy and convenient,Easy,Convenient,Liked it,Yes,Yes,1:00pm,6:30pm,1,2,3,4,,I don't know,1,2,3,4
3/2/17 13:19,3/2/17 13:21,1,1,1,No ,It was very good,Liked it,Really easy,Very Easy,Somewhat convenient,Liked it,Yes,Yes,1:00 PM,8:00 PM,1,2,3,4,Thanks!,To see our food consumption ,1,2,3,4
3/2/17 13:20,3/2/17 13:21,1,1,1,No,Fine,Liked it very much,Fine,Very Easy,Very Convenient,Liked it very much,Yes,Yes,Noon,7:00 PM,1,2,3,4,,Food Diaries,1,2,3,4
3/2/17 13:20,3/2/17 13:21,1,1,1,no none were confusing or troublesome,it was pretty easy,Somewhat liked it,pretty easy,Easy,Convenient,Liked it,Yes,Yes,11,6,1,2,3,4,none,no clue,1,2,3,4
3/2/17 13:20,3/2/17 13:22,1,1,1,"Not at all,  everything worked fine.",No problems that I can recall.,Somewhat liked it,"I rather enjoyed it, it made me take a look at exactly what I was eating.",Very Easy,Very Convenient,Liked it very much,Yes,Yes,12:00 PM,6:00 PM,1,2,3,4,None that I can think of.,Perhaps a study of how health conscious people are? Hard to say for sure.,1,2,3,4
3/2/17 13:20,3/2/17 13:22,1,1,1,"No, everything was clear.",It was fun and interesting. ,Liked it very much,"It was interesting and also fun, I looked forward to completing the entires each day. ",Very Easy,Very Convenient,Liked it very much,Yes,Yes,I dont have a usual time but I would say 2pm,I eat dinner at 8:30 pm,1,2,3,4,,,1,2,3,4
3/2/17 13:19,3/2/17 13:23,1,1,1,"Not at all, i followed the directions and the instructions.",It was very easy,Liked it,"It was really easy, i was a powerlifter, so im used to logging in my food.",Easy,Convenient,Liked it very much,Yes,Yes,11:30 AM,8:00 PM,1,2,3,4,Reminded me of My Fitness Pal,"To track how much people eat, and their daily calorie intake.",1,2,3,4
3/2/17 13:22,3/2/17 13:24,1,1,1,no there were not.,It was pretty much easy and I liked it.,Liked it,It was interesting and fun to do.,Somewhat easy,Somewhat convenient,Liked it,Yes,Maybe,1,7,1,2,3,4,,To see how I felt about the surveys that I completed.,1,2,3,4
3/2/17 13:27,3/2/17 13:33,1,1,1,no,yes,Neither disliked nor liked it,ok,Neither difficult nor east,Somewhat convenient,Somewhat liked it,Maybe,Maybe,11.5,7,1,2,3,4,no comments,Recruiting people / ,1,2,3,4
3/2/17 13:33,3/2/17 13:34,1,1,1,"No, it was all very clear.","It was a simple survey, the longest of all of them.",Somewhat liked it,I was surprised at how short the food diary was.,Very Easy,Very Convenient,Liked it very much,Yes,Yes,1,6:30,1,2,3,4,,,1,2,3,4
3/2/17 13:34,3/2/17 13:35,1,1,1,No,Easy,Liked it,Very easy.,Very Easy,Very Convenient,Liked it,Yes,Yes,12:00pm,5:30pm,1,2,3,4,No,No idea.,1,2,3,4
3/2/17 13:34,3/2/17 13:36,1,1,1,No,Easy,Somewhat liked it,Not bad,Easy,Neither inconvenient nor convenient,Somewhat liked it,Yes,Yes,12pm,7pm,1,2,3,4,,food diary,1,2,3,4
3/2/17 13:36,3/2/17 13:38,1,1,1,No.,It was fine.,Neither disliked nor liked it,Kind of annoying.,Somewhat difficult,Somewhat inconvenient,Somewhat disliked it,Maybe,No,1:00 PM,7-8 PM,1,2,3,4,,,1,2,3,4
3/2/17 13:37,3/2/17 13:38,1,1,1,No,Easy,-99,Fun!,Very Easy,Very Convenient,Liked it very much,Yes,Maybe,12:30pm EST,5:30pm EST,1,2,3,4,None,Study of what we eat and how we think and feel during these times.,1,2,3,4
3/2/17 13:38,3/2/17 13:40,1,1,1,no,fine,Neither disliked nor liked it,simple,Easy,Neither inconvenient nor convenient,Neither disliked nor liked it,Yes,Maybe,2,8,1,2,3,4,nope,understand eating behaviors,1,2,3,4
3/2/17 13:35,3/2/17 13:45,1,1,1,none,yes,Somewhat liked it,fun,Neither difficult nor east,Neither inconvenient nor convenient,Neither disliked nor liked it,Yes,Yes,11:00am,6:00pm,1,2,3,4,,,1,2,3,4
3/2/17 13:45,3/2/17 13:47,1,1,1,no,fine,Somewhat liked it,good,Somewhat easy,Somewhat convenient,Somewhat liked it,Yes,Yes,noon,6pm,1,2,3,4,,,1,2,3,4
3/2/17 13:49,3/2/17 13:50,1,1,1,no,easy,Somewhat liked it,easy,Somewhat easy,Somewhat convenient,Somewhat liked it,Yes,Yes,2pm,7pm,1,2,3,4,,unsure,1,2,3,4
3/2/17 13:54,3/2/17 13:57,1,1,1,No,"It was easy and simple, I had no issues.",Liked it,I think it was fun and very short not long at all and was very easy to get done,Easy,Convenient,Somewhat liked it,Yes,Yes,12:00,6:30,1,2,3,4,,food studies,1,2,3,4
3/2/17 13:54,3/2/17 14:00,1,1,1,No confusion.,It was very easy.,Liked it,It was easy and not very time consuming.,Very Easy,Very Convenient,Neither disliked nor liked it,Yes,Maybe,12:00 PM,5:00 PM,1,2,3,4,,Study people's eating habits.,1,2,3,4
3/2/17 13:58,3/2/17 14:00,1,1,1,Nothing confusing ,It was pretty easy,Liked it very much,Fun and easy,Very Easy,Very Convenient,Liked it very much,Yes,Yes,2pm,7pm,1,2,3,4,Fun to take ,Choices we make,1,2,3,4
3/2/17 14:00,3/2/17 14:01,1,1,1,No,It was easy and I had no complaints,Liked it,Very simple,Very Easy,Very Convenient,Liked it very much,Yes,Yes,3:00 PM,8:00 PM,1,2,3,4,No,I am not sure,1,2,3,4
3/2/17 13:57,3/2/17 14:03,1,1,1,no,It went pretty regular. There was nothing special or unclear about it.,Liked it very much,It went well thnking about what I eat everyday,Very Easy,Convenient,Liked it very much,Yes,Yes,2pm,6:30pm,1,2,3,4,,,1,2,3,4
3/2/17 13:49,3/2/17 14:05,1,1,1,No major problems. Just a minor problem submitting the final HIT for payment but it was resolved through e-mail with a bonus.,Fine.,Liked it,Very easy.,Very Easy,Very Convenient,Liked it very much,Yes,Yes,12-1PM,5-7PM,1,2,3,4,None.,To see how healthy or unhealthy people eat?,1,2,3,4
3/2/17 14:14,3/2/17 14:16,1,1,1,"I was under the impression that the phone surveys would be prompted every day, however I got them every couple of days or once every three days. ",I had no issues.,Liked it,Easy and straightforward,Very Easy,Convenient,Liked it,Yes,Maybe,11:00 AM,7:00 PM,1,2,3,4,,I'm not sure.,1,2,3,4
3/2/17 14:22,3/2/17 14:24,1,1,1,None,It was a decent experience. I experienced no difficulties,Neither disliked nor liked it,It was quick and easy,Easy,Convenient,Neither disliked nor liked it,Yes,Yes,12:30 PM,7:00 PM,1,2,3,4,None,I don't know,1,2,3,4
3/2/17 14:30,3/2/17 14:31,1,1,1,None.,Fine.,Neither disliked nor liked it,Easy.,Somewhat easy,Neither inconvenient nor convenient,Somewhat disliked it,Yes,Maybe,12,7,1,2,3,4,No,Perceptions of food,1,2,3,4
3/2/17 14:31,3/2/17 14:31,1,1,1,no,straight,Liked it very much,easy,Very Easy,Very Convenient,Liked it very much,Yes,Yes,1pm,8pm,1,2,3,4,thank you,perceptions of nutrition,1,2,3,4
3/2/17 14:35,3/2/17 14:37,1,1,1,No,Easy,Liked it,Easy,Very Easy,Somewhat convenient,Liked it,Yes,Yes,1,7,1,2,3,4,,,1,2,3,4
3/2/17 14:38,3/2/17 14:39,1,1,1,no,simple,Liked it,simple,Very Easy,Convenient,Liked it,Yes,Yes,12,6,1,2,3,4,thank you,,1,2,3,4
3/2/17 14:49,3/2/17 14:58,1,1,1,no,The survey was interesting and straightforward. ,Somewhat liked it,It was convenient and easy to do.,Somewhat easy,Somewhat convenient,Somewhat liked it,Yes,Yes,11:35 AM,5:45 PM,1,2,3,4,no,I think the purpose of this study was to determine how a person eats and recalls meals.,1,2,3,4
3/2/17 14:59,3/2/17 15:00,1,1,1,No,It was easy,Somewhat liked it,Time consuming but simple.,Somewhat easy,Somewhat inconvenient,Somewhat liked it,Yes,Maybe,1pm,7pm,1,2,3,4,None,Get feedback on the food diary survey,1,2,3,4
3/2/17 15:01,3/2/17 15:02,1,1,1,No,"It was easy, fun, quick, and very enjoyable!",Liked it very much,It was super easy and made me keep up with what I ate! It was fun,Very Easy,Very Convenient,Liked it very much,Yes,Yes,1,7,1,2,3,4,I loved it very much,Understand our food activities,1,2,3,4
3/2/17 15:04,3/2/17 15:08,1,1,1,No,Easy,Liked it very much,Very Easy. Made me conscious of what I ate during the day.,Easy,Convenient,Liked it,Yes,Yes,1:00 PM,6:00 PM,1,2,3,4,I liked that text messages were also included.,If keeping a food diary influences choices.,1,2,3,4
3/2/17 15:19,3/2/17 15:21,1,1,1,none,easy,Liked it,easy,Easy,Convenient,Liked it,Yes,Maybe,1:30 PM,8:00 PM,1,2,3,4,none,not sure,1,2,3,4
