V8,V9,V10,consent,Inst,TimeInst_1,TimeInst_2,TimeInst_3,TimeInst_4,AWBInst,ChangeFV,ChangeMeat,Imp_2,Imp_3,Imp_4,Imp_7,Imp_11,Imp_12,Imp_13,Imp_13_TEXT,Veg,TimeDiet_1,TimeDiet_2,TimeDiet_3,TimeDiet_4,State,Gen,Edu,Edu_TEXT,Inc,Age,Pol,TimeDem_1,TimeDem_2,TimeDem_3,TimeDem_4,DO-BR-FL_6,DO-Q-MTInst,DO-Q-SSInst,DO-Q-PAInst,DO-Q-Imp
StartDate,EndDate,Finished,"Informed Consent   By answering the following questions, you are participating in a study being p...","As advertised in the HIT, there are three parts to complete this study: 1) The Recruitment Survey...",Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,The purpose of this survey is to understand your lifestyle choices and dietary preferences.  We a...,"Do you intend to change your fruit and vegetable consumption over the next week?  ""I intend to __...","Do you intend to change your meat consumption over the next week? Meat includes chicken, turkey,...","What are the TWO most important things that you take into consideration when deciding what meat,...-Price of the product","What are the TWO most important things that you take into consideration when deciding what meat,...-Nutritional content of the product","What are the TWO most important things that you take into consideration when deciding what meat,...-Whether the product is antibiotic and/or hormone free","What are the TWO most important things that you take into consideration when deciding what meat,...-Whether the animals had a good standard of living","What are the TWO most important things that you take into consideration when deciding what meat,...-How the product tastes","What are the TWO most important things that you take into consideration when deciding what meat,...-The environmental impacts of the product","What are the TWO most important things that you take into consideration when deciding what meat,...-Other (please specify):","What are the TWO most important things that you take into consideration when deciding what meat,...-Other (please specify):-TEXT","Do you currently eat a vegetarian or vegan diet?   A vegetarian diet includes egg and dairy, but...",Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,"50 States, D.C. and Puerto Rico",What is you gender,What is the highest educational qualification you have obtained?,What is the highest educational qualification you have obtained?-TEXT,"In which of these groups did your total PERSONAL income, from all sources, fall last year before...",What is your age?,Which of these best describes your political orientation?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Display Order: Block Randomizer FL_6,Display Order: Thank you for completing the Recruitment Survey. On the next page you'll be asked to confirm your...,Display Order: Thank you for completing the Recruitment Survey. On the next page you'll be asked to confirm your...,Display Order: Thank you for completing the Recruitment Survey. On the next page you'll be asked to confirm your...,"Display Order: What are the TWO most important things that you take into consideration when deciding what meat,..."
2/9/17 23:12,2/9/17 23:14,1,1,1,1,2,3,4,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,,-99,1,2,3,4,-99,-99,-99,,-99,19,-99,1,2,3,4,MTurk,,,,3|4|2|11|7|12|13
2/20/17 13:25,2/20/17 13:29,1,1,1,1,2,3,4,1,Increase,Decrease,0,0,0,0,How the product tastes,0,0,,No,1,2,3,4,Georgia,Male,"Some university-level education, without degree",,"$40,001 - $50,000",23,Somewhat Conservative,1,2,3,4,SurveySignal,,,,3|4|12|11|7|2|13
2/20/17 13:30,2/20/17 13:35,1,1,1,1,2,3,4,1,Maintain current levels,Maintain current levels,Price of the product,Nutritional content of the product,0,0,0,0,0,,No,1,2,3,4,Kansas,Male,Secondary/high school,,"$0 - $10,000",34,Liberal,1,2,3,4,PACO,,,,11|7|3|4|2|12|13
2/20/17 14:07,2/20/17 14:10,1,1,1,1,2,3,4,1,Increase,Somewhat increase,Price of the product,Nutritional content of the product,0,0,0,0,0,,No,1,2,3,4,Tennessee,Trans/Other,"Some university-level education, without degree",,"$30,001 - $40,000",22,Somewhat Conservative,1,2,3,4,SurveySignal,,,,7|3|11|4|2|12|13
2/20/17 14:30,2/20/17 14:36,1,1,1,1,2,3,4,1,Somewhat increase,Somewhat Decrease,Price of the product,Nutritional content of the product,0,0,0,0,0,,No,1,2,3,4,Ohio,Female,"University-level education, with professional degree (e.g. Law, Medicine, ...)",,"greater than $100,000",35,Very Liberal,1,2,3,4,PACO,,,,7|2|11|3|4|12|13
2/20/17 14:41,2/20/17 14:43,1,1,1,1,2,3,4,1,Maintain current levels,Maintain current levels,Price of the product,0,0,0,How the product tastes,0,0,,No,1,2,3,4,California,Female,"Some university-level education, without degree",,"$0 - $10,000",23,Moderate,1,2,3,4,MTurk,,,,2|12|3|11|4|7|13
2/20/17 14:44,2/20/17 14:46,1,1,1,1,2,3,4,1,Somewhat increase,Maintain current levels,Price of the product,0,0,Whether the animals had a good standard of living,0,0,0,,No,1,2,3,4,District of Columbia,Female,"Higher degree (e.g. MSc, PhD)",,"$50,001 - $60,000",30,Very Liberal,1,2,3,4,SurveySignal,,,,11|12|7|4|2|3|13
2/20/17 14:57,2/20/17 15:01,1,1,1,1,2,3,4,1,Somewhat increase,Somewhat Decrease,0,Nutritional content of the product,Whether the product is antibiotic and/or hormone free,0,0,0,0,,No,1,2,3,4,Maryland,Female,"University-level education, with degree (e.g. BA, BSc, ...)",,"$40,001 - $50,000",22,Somewhat Liberal,1,2,3,4,PACO,,,,12|4|11|3|2|7|13
2/20/17 15:53,2/20/17 15:56,1,1,1,1,2,3,4,1,Somewhat increase,Somewhat Decrease,0,0,Whether the product is antibiotic and/or hormone free,0,How the product tastes,0,0,,No,1,2,3,4,Minnesota,Female,"Higher degree (e.g. MSc, PhD)",,"$0 - $10,000",33,Somewhat Liberal,1,2,3,4,MTurk,,,,7|3|2|11|12|4|13
2/20/17 16:28,2/20/17 16:36,1,1,1,1,2,3,4,1,Maintain current levels,Maintain current levels,Price of the product,0,0,Whether the animals had a good standard of living,0,0,0,,Yes,1,2,3,4,Massachusetts,Female,"Some university-level education, without degree",,"$0 - $10,000",23,Liberal,1,2,3,4,PACO,,,,4|3|11|7|12|2|13
2/20/17 16:34,2/20/17 16:37,1,1,1,1,2,3,4,1,Maintain current levels,Somewhat increase,Price of the product,0,0,0,How the product tastes,0,0,,No,1,2,3,4,Georgia,Male,"Higher degree (e.g. MSc, PhD)",,"$60,001 - $70,000",24,Conservative,1,2,3,4,MTurk,,,,3|11|7|4|2|12|13
2/20/17 17:09,2/20/17 17:13,1,1,1,1,2,3,4,1,Maintain current levels,Maintain current levels,Price of the product,0,0,0,How the product tastes,0,0,,No,1,2,3,4,California,Female,"Some university-level education, without degree",,"$40,001 - $50,000",46,Very Liberal,1,2,3,4,MTurk,,,,3|7|2|11|4|12|13
2/21/17 13:29,2/21/17 13:30,1,1,1,1,2,3,4,1,Increase,Maintain current levels,Price of the product,0,0,0,How the product tastes,0,0,,No,1,2,3,4,Nevada,Male,"Some university-level education, without degree",,"$70,001 - $80,000",29,Moderate,1,2,3,4,MTurk,,,,11|3|7|12|4|2|13
2/21/17 13:29,2/21/17 13:31,1,1,1,1,2,3,4,1,Maintain current levels,Maintain current levels,Price of the product,0,0,0,How the product tastes,0,0,,No,1,2,3,4,New York,Male,"Some university-level education, without degree",,"$0 - $10,000",22,Very Liberal,1,2,3,4,SurveySignal,,,,4|2|3|12|11|7|13
2/21/17 13:29,2/21/17 13:32,1,1,1,1,2,3,4,1,Maintain current levels,Somewhat increase,0,0,0,0,How the product tastes,The environmental impacts of the product,0,,No,1,2,3,4,Virginia,Male,"Some university-level education, without degree",,"$10,001 - $20,000",21,Somewhat Conservative,1,2,3,4,SurveySignal,,,,7|2|12|11|3|4|13
