when,appId,pacoVersion,experimentId,experimentName,experimentVersion,experimentGroupName,actionTriggerId,actionId,actionSpecId,responseTime,scheduledTime,timeZone,recentFullMeal,mealList,dishesContain,otherProtein,Form Duration,android,carrier,display,joined,make,model,schedule
2017/03/03 20:15:15+0000,Android,4.2.25,4.67499E+15,Stanford Food Diary,42,New Group,0,0,0,3/3/17 15:15,,-05:00,1,granola bar,"9,11,12",,27,,,,,,,
2017/03/03 14:02:00+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,42,,0,0,0,3/3/17 9:01,,-05:00,1,"Omelette with cheese, spinach and avacado. Unsweet tea","6,7,8",,,,,,,,,
2017/03/03 14:01:59+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,42,,0,0,0,,3/1/17 20:36,-05:00,,,,,,,,,,,,
2017/03/03 00:17:52+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,43,,0,0,0,3/2/17 16:17,,-08:00,2,Peanut butter and honey sandwich with sparking water,"11,12",,,,,,,,,
2017/03/02 21:23:56+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,42,,0,0,0,,2/28/17 20:16,-05:00,,,,,,,,,,,,
2017/03/02 21:23:55+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,42,,0,0,0,,2/27/17 17:31,-05:00,,,,,,,,,,,,
2017/03/02 21:23:54+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,42,,0,0,0,,2/25/17 18:17,-05:00,,,,,,,,,,,,
2017/03/02 21:23:53+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,42,,0,0,0,,2/23/17 15:47,-05:00,,,,,,,,,,,,
2017/03/02 04:53:41+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,43,,0,0,0,3/1/17 20:53,3/1/17 20:51,-08:00,2,"Veggie burger containing quinoa, corn,black beans, 2 slices of whole grain bread, ketchup, mustard, salad containing spinach, a carrot, half cup of cilantro and nutritional yeast","8,12,14",,,,,,,,,
2017/03/02 04:11:06+0000,Android,4.2.25,4.67499E+15,Stanford Food Diary,42,New Group,1.48757E+12,1.48757E+12,1.48757E+12,,3/1/17 20:00,-06:00,,,,,,,,,,,,
2017/03/02 02:15:07+0000,Android,4.2.25,4.67499E+15,Stanford Food Diary,42,New Group,1.48757E+12,1.48757E+12,1.48757E+12,3/1/17 19:15,3/1/17 19:11,-07:00,3,pepperoni pizza,2,,19,,,,,,,
